loss;acc;val_loss;val_acc
0.9852;0.5526;1.2361;0.5234
0.7691;0.6889;2.6756;0.3836
0.6847;0.7277;1.2654;0.5211
0.5931;0.7679;0.9115;0.6328
0.5241;0.7939;0.5810;0.7867
0.4463;0.8283;0.8337;0.7016
0.4385;0.8352;0.6820;0.7312
0.3851;0.8576;0.4636;0.8219
0.3362;0.8743;0.5168;0.8039
0.3212;0.8812;0.3856;0.8492
0.2982;0.8893;0.6122;0.7930
0.2710;0.8998;0.4252;0.8492
0.2469;0.9102;0.3022;0.8867
0.2239;0.9196;0.2580;0.9047
0.2373;0.9111;0.4774;0.8336
0.2169;0.9189;0.2776;0.9070
0.2127;0.9187;0.3059;0.8977
0.1957;0.9315;0.2492;0.9133
0.1728;0.9382;0.2612;0.8992
0.1674;0.9398;0.1770;0.9359
0.1586;0.9430;0.1523;0.9461
0.1596;0.9412;0.1507;0.9484
0.1523;0.9462;0.2102;0.9266
0.1458;0.9481;0.1542;0.9438
0.1532;0.9464;0.2116;0.9281
0.1415;0.9492;0.1141;0.9594
0.1236;0.9540;0.1992;0.9258
0.1237;0.9556;0.1418;0.9492
0.1236;0.9568;0.2129;0.9336
0.1248;0.9566;0.1625;0.9383
